id,student_id,password
1,2467001,1886
2,2467002,1886
3,2467003,1886
4,2467004,1886
5,2467005,1886
6,2467006,1886
7,2467007,1886
8,2467008,1886
9,2467009,1886
10,2467010,1886
11,2467011,1886
12,2467012,1886
13,2467013,1886
14,2467014,1886
15,2467015,1886
16,2467016,1886
17,2467017,1886
18,2467018,1886
19,2467019,1886
20,2467020,1886
21,2467021,1886
22,2467022,1886
23,2467023,1886
24,2467024,1886
25,2467025,1886
26,2467026,1886
27,2467027,1886
28,2467028,1886
29,2467029,1886
30,2467030,1886
31,2467031,1886
32,2467032,1886
33,2467033,1886
34,2467034,1886
35,2467035,1886
36,2467036,1886
37,2467037,1886
38,2467038,1886
39,2467039,1886
